id,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,,
2539,9,2018-10-19,0.21,6,,
2595,45,2019-05-21,0.38,2,,
3647,0,,,1,,
3831,270,2019-07-05,4.64,1,,
5022,9,2018-11-19,0.1,1,,
5099,74,2019-06-22,0.59,1,,
5121,49,2017-10-05,0.4,1,,
5178,430,2019-06-24,3.47,1,,
5203,118,2017-07-21,0.99,1,,
5238,160,2019-06-09,1.33,4,,
5295,53,2019-06-22,0.43,1,,
5441,188,2019-06-23,1.5,1,,
5803,167,2019-06-24,1.34,3,,
6021,113,2019-07-05,0.91,1,,
6090,27,2018-10-31,0.22,1,,
6848,148,2019-06-29,1.2,1,,
7097,198,2019-06-28,1.72,1,,
7322,260,2019-07-01,2.12,1,,
7726,53,2019-06-22,4.44,1,,
7750,0,,,2,,
7801,9,2011-12-28,0.07,1,,
8024,130,2019-07-01,1.09,6,,
8025,39,2019-01-01,0.37,6,,
8110,71,2019-07-02,0.61,6,,
8490,88,2019-06-19,0.73,2,,
8505,19,2019-06-23,1.37,2,,
8700,0,,,1,,
9357,58,2017-08-13,0.49,1,,
9518,108,2019-06-15,1.11,3,,
9657,29,2019-04-19,0.24,1,,
9668,242,2019-06-01,2.04,3,,
9704,88,2019-06-14,1.42,1,,
9782,197,2019-06-15,1.65,3,,
9783,273,2019-07-01,2.37,3,,
10452,74,2019-05-12,0.66,2,,
10962,168,2019-06-21,1.41,3,,
11452,0,,,1,,
11708,231,2019-06-22,1.96,2,,
11943,0,,,1,,
12048,214,2019-07-05,1.81,4,,
12192,245,2019-06-21,2.08,2,,
12299,15,2019-05-27,0.39,1,,
12303,25,2018-09-30,0.23,1,,
12318,81,2019-06-16,0.69,1,,
12343,97,2019-06-13,0.84,1,,
12627,11,2019-06-05,0.49,1,,
12937,248,2019-07-01,2.25,1,,
12940,61,2019-05-25,0.52,1,,
13050,11,2017-01-01,0.1,1,,
13394,135,2019-06-17,1.16,2,,
13808,112,2019-06-16,1.01,3,,
14287,73,2019-07-07,0.63,1,,
14290,82,2019-05-17,0.7,1,,
14314,328,2019-06-29,2.82,1,,
14322,19,2019-03-25,0.22,1,,
14377,105,2019-06-22,0.9,1,,
14991,19,2019-05-18,0.17,1,,
15220,289,2019-06-09,2.49,2,,
15338,138,2019-06-04,1.19,3,,
15341,21,2019-06-29,0.3,1,,
15385,42,2019-06-30,0.38,1,,
15396,5,2018-11-03,0.12,1,,
15711,66,2019-03-30,0.57,2,,
16326,143,2019-01-26,1.33,2,,
